;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;0.00%;0.00%;0.00%;0.00%;0.00%;37.78%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;37.78%
2001;-99.95%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-99.95%
2002;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2003;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2004;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;48074.63%;45678.02%
2005;0.00%;0.00%;-5.00%;31.58%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;26.58%
2006;28.00%;0.00%;0.00%;0.00%;3.12%;0.00%;0.00%;0.00%;0.00%;0.00%;51.52%;60.00%;141.31%
2007;0.00%;0.00%;22.50%;23.47%;-15.70%;2.94%;44.76%;-25.66%;-11.50%;0.00%;0.00%;-1.00%;60.78%
2008;0.34%;0.00%;-10.10%;-8.99%;3.70%;0.00%;-4.76%;-21.04%;-4.76%;0.00%;0.00%;50.00%;9.54%
2009;0.11%;0.00%;0.00%;0.00%;40.00%;0.00%;0.34%;-4.76%;38.33%;-3.01%;0.00%;0.00%;68.32%
2010;6.21%;0.00%;2.45%;0.00%;-5.71%;-12.73%;-6.25%;0.87%;10.29%;0.00%;-15.33%;0.79%;-9.71%
2011;-21.88%;18.26%;-15.25%;30.00%;0.00%;0.00%;-0.77%;0.34%;0.00%;0.00%;16.28%;13.33%;37.28%
2012;0.00%;0.27%;0.00%;2.94%;-11.43%;3.23%;0.00%;-5.94%;0.00%;0.00%;-33.33%;0.00%;-47.00%
2013;10.00%;0.33%;0.00%;0.00%;0.00%;0.00%;0.91%;-9.69%;0.00%;0.00%;10.00%;0.00%;11.72%
2014;0.00%;-9.09%;5.00%;0.00%;0.00%;4.76%;0.00%;0.26%;0.00%;0.00%;0.00%;0.00%;0.93%
2015;0.00%;0.27%;27.27%;18.57%;0.00%;0.00%;0.00%;0.27%;0.00%;-15.66%;0.00%;0.00%;30.72%
2016;0.00%;0.00%;0.18%;0.00%;0.00%;0.00%;0.00%;-37.14%;-12.50%;0.00%;0.00%;-7.79%;-61.00%
2017;-4.23%;2.94%;8.92%;1.35%;-5.33%;15.49%;9.76%;-11.11%;2.50%;0.00%;-8.55%;-0.00%;34.22%
2018;-31.72%;0.00%;1.35%;0.00%;0.00%;0.00%;-45.95%;-8.00%;0.00%;-18.42%;-5.26%;3.52%;-112.12%
2019;-3.46%;12.24%;22.62%;-7.64%;-13.93%;3.80%;5.16%;-11.40%;0.00%;10.67%;0.00%;0.00%;20.97%
2020;23.25%;0.20%;4.39%;-21.50%;15.00%;10.66%;-10.62%;19.88%;-14.40%;-1.58%;1.04%;2.51%;79.83%
2021;0.05%;20.45%;-7.35%;-0.09%;18.57%;-13.01%;-1.26%;-2.03%;0.00%;-11.46%;26.80%;0.00%;35.00%
2022;-19.94%;0.00%;0.75%;-0.74%;-0.45%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-19.94%
