;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;11.00%;29.40%;13.92%;5.56%;15.79%;13.18%;8.39%;-7.37%;0.00%;0.00%;0.00%;-4.04%;82.92%
2001;0.00%;4.21%;0.00%;0.00%;0.00%;0.00%;6.00%;-5.66%;0.00%;0.00%;0.00%;20.00%;24.47%
2002;0.00%;0.00%;-33.67%;0.00%;0.50%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-33.16%
2003;0.00%;0.00%;-10.00%;-8.33%;-15.15%;-21.43%;-9.09%;-0.10%;-14.91%;-8.24%;-7.56%;10.96%;-78.52%
2004;0.00%;0.00%;0.00%;-12.50%;14.29%;32.50%;26.42%;-11.57%;0.17%;34.79%;12.50%;36.17%;130.85%
2005;-2.08%;0.00%;8.33%;3.85%;7.41%;0.00%;0.00%;0.00%;0.00%;0.00%;-24.14%;4.55%;-1.91%
2006;-0.43%;0.00%;-3.93%;0.00%;2.27%;0.00%;0.00%;-11.11%;0.00%;5.00%;0.00%;0.00%;-8.20%
2007;-13.76%;0.00%;0.00%;98.79%;30.56%;-99.13%;0.00%;0.00%;0.00%;78.05%;-23.29%;-7.14%;77.73%
2008;40.38%;-4.11%;-18.57%;-15.79%;4.17%;-2.00%;-20.41%;-0.00%;-35.90%;-32.00%;5.88%;16.67%;2.67%
2009;4.76%;-4.55%;9.52%;21.74%;10.71%;-12.90%;7.41%;3.45%;20.00%;52.78%;-1.82%;38.89%;180.01%
2010;2.67%;125.97%;-21.84%;0.74%;-23.36%;-6.67%;14.29%;3.57%;-6.03%;-4.59%;-1.92%;0.98%;69.24%
2011;-12.62%;-8.89%;-12.20%;11.11%;-3.75%;1.30%;15.38%;-13.33%;-6.41%;-8.22%;-10.45%;-1.67%;-35.17%
2012;0.00%;5.08%;-1.61%;-1.64%;-18.33%;-0.00%;-4.08%;-4.26%;6.67%;8.33%;11.54%;1.72%;9.55%
2013;-5.08%;-1.79%;-1.82%;-12.96%;25.53%;-5.08%;-17.86%;4.35%;8.33%;1.92%;15.09%;36.07%;50.49%
2014;1.20%;-16.67%;-4.29%;-5.97%;4.76%;-4.55%;-4.76%;-0.00%;-10.00%;-11.11%;-6.25%;-6.67%;-53.43%
2015;-11.90%;0.00%;5.41%;30.77%;-1.96%;-4.00%;-16.67%;-31.25%;25.45%;15.65%;-2.26%;-10.26%;1.75%
2016;11.14%;-16.71%;-7.72%;0.33%;-0.33%;0.33%;4.00%;-6.09%;8.87%;-2.82%;-12.90%;22.59%;16.99%
2017;-10.88%;-3.39%;1.75%;-6.21%;1.84%;6.50%;-5.08%;5.36%;-3.39%;1.75%;-4.48%;-2.89%;-8.64%
2018;-1.12%;-8.65%;-1.23%;8.33%;-6.92%;0.83%;-5.74%;0.00%;-6.52%;14.88%;-12.15%;-11.98%;-22.46%
2019;2.09%;-0.51%;-2.06%;-7.89%;14.86%;-6.47%;1.06%;17.89%;-5.80%;0.95%;-3.76%;14.63%;37.05%
2020;25.53%;-6.78%;-27.27%;-2.00%;4.08%;39.22%;-6.69%;5.66%;-4.64%;-0.37%;9.02%;-2.76%;41.16%
2021;-6.38%;-3.41%;3.53%;7.58%;-4.58%;80.81%;-26.73%;-6.41%;-9.23%;1.31%;-5.50%;-4.11%;42.55%
2022;0.00%;-3.93%;-7.81%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-10.15%
