;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2001;-99.99%;81.25%;-12.64%;28.95%;9.18%;0.93%;-25.83%;-0.12%;-6.25%;-1.33%;10.81%;3.66%;56.50%
2002;-5.88%;-1.25%;0.00%;-5.06%;11.60%;-0.84%;-15.66%;0.00%;0.00%;0.00%;1.57%;9.85%;5.23%
2003;0.00%;2.43%;0.00%;-14.25%;3.50%;-1.41%;7.14%;-2.67%;15.07%;30.95%;-10.91%;2.04%;39.64%
2004;20.00%;8.33%;-7.69%;0.00%;25.00%;3.33%;25.81%;-5.13%;-13.51%;0.00%;3.12%;3.03%;69.35%
2005;28.24%;-13.76%;-4.26%;-0.00%;0.00%;0.00%;-5.72%;0.00%;-0.47%;6.57%;11.11%;5.00%;29.37%
2006;7.14%;-6.67%;9.05%;0.00%;-3.06%;66.67%;-40.54%;-4.09%;75.36%;0.00%;0.00%;-40.54%;63.31%
2007;68.18%;-0.00%;-37.84%;65.57%;0.00%;0.00%;0.00%;0.00%;0.00%;-34.35%;-12.00%;2.24%;74.22%
2008;2.27%;0.00%;6.67%;0.00%;19.62%;0.00%;0.00%;0.00%;0.00%;-1.79%;0.00%;2.05%;27.77%
2009;-1.82%;0.00%;48.15%;1.52%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;1.35%;50.59%
2010;0.00%;0.00%;0.02%;3.75%;0.00%;9.97%;0.00%;0.00%;0.00%;0.00%;0.00%;1.74%;15.49%
2011;0.00%;0.00%;0.00%;0.00%;2.00%;0.00%;-9.09%;0.00%;0.00%;0.00%;0.00%;0.00%;-7.09%
2012;12.50%;0.00%;0.00%;9.18%;33.33%;0.00%;0.00%;0.00%;0.00%;8.33%;0.00%;0.00%;63.92%
2013;0.00%;0.02%;15.37%;13.34%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-1.18%;26.99%
2014;0.00%;1.19%;0.01%;0.00%;3.57%;4.69%;0.00%;12.37%;0.99%;0.00%;0.00%;9.68%;32.45%
2015;0.00%;0.00%;0.00%;-8.00%;-4.92%;2.02%;0.00%;0.00%;0.00%;0.00%;3.10%;0.00%;-4.84%
2016;11.99%;0.00%;0.00%;2.68%;-0.61%;0.04%;0.00%;0.00%;0.00%;0.00%;4.94%;1.25%;22.46%
2017;0.00%;8.33%;0.00%;1.91%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;3.85%;1.17%;15.26%
2018;0.00%;11.15%;-0.03%;1.89%;-2.03%;0.00%;0.00%;0.00%;0.00%;5.48%;0.00%;7.55%;23.84%
2019;0.00%;45.45%;0.00%;-0.66%;0.00%;0.00%;0.04%;0.00%;0.00%;0.00%;0.00%;3.30%;48.15%
2020;0.21%;27.66%;0.00%;0.16%;0.00%;0.17%;0.00%;0.00%;-0.15%;0.02%;8.58%;-7.65%;31.96%
2021;-0.00%;61.67%;-38.14%;-0.00%;2.00%;1.67%;-1.64%;1.67%;-1.64%;0.00%;0.00%;-1.72%;40.07%
2022;-0.02%;37.77%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;37.75%
