;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;11/05/2022;0,0273;DIVIDENDO;20/05/2022 ;1;BPAN4
1;21/12/2021;0,2167;JRS CAP PROPRIO;06/01/2022 ;1;BPAN4
2;04/05/2021;0,0073;DIVIDENDO;14/05/2021 ;1;BPAN4
3;22/12/2020;0,2042;JRS CAP PROPRIO;26/02/2021 ;1;BPAN4
4;06/05/2020;0,0027;DIVIDENDO;15/05/2020 ;1;BPAN4
5;14/02/2020;0,1643;JRS CAP PROPRIO;28/02/2020 ;1;BPAN4
6;27/05/2019;0,0759;JRS CAP PROPRIO;- ;1;BPAN4
7;29/03/2018;0,0611;JRS CAP PROPRIO;- ;1;BPAN4
8;01/02/2016;0,0034;JUROS;- ;1;BPAN4
9;09/02/2015;0,0019;Juros;- ;1;BPAN4
10;10/02/2012;0,0689;Juros;-  ;1;BPAN4
11;30/04/2010;0,0066;Dividendo;- ;1;BPAN4
12;30/12/2009;0,1310;Juros;- ;1;BPAN4
